"ServicesID","EnrollmentID","PersonalID","DateProvided","RecordType","TypeProvided","OtherTypeProvided","MovingOnOtherType","SubTypeProvided","FAAmount","FAStartDate","FAEndDate","ReferralOutcome","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4369384","772516","342418",2020-06-05,144,2,,,,,,,,2020-06-05 15:11:58,2020-06-05 15:11:58,"24",,"1036"
"4369673","772516","342418",2020-06-08,144,2,,,,,,,,2020-06-08 11:43:40,2020-06-08 11:43:40,"24",,"1036"
"4381032","772516","342418",2020-06-10,152,1,,,,500,2020-06-10,2020-06-10,,2020-07-09 07:37:16,2020-07-09 07:37:16,"24",,"1036"
"4381033","772516","342418",2020-06-10,152,2,,,,500,2020-06-10,2020-06-10,,2020-07-09 07:40:28,2020-07-09 07:40:28,"24",,"1036"
"4370811","772516","342418",2020-06-11,144,2,,,,,,,,2020-06-11 14:36:04,2020-06-11 14:36:04,"24",,"1036"
"4372313","772516","342418",2020-06-16,144,2,,,,,,,,2020-06-16 15:38:37,2020-06-16 15:38:37,"24",,"1036"
"4372525","772516","342418",2020-06-17,144,2,,,,,,,,2020-06-17 12:03:27,2020-06-17 12:03:27,"24",,"1036"
"4373614","772516","342418",2020-06-19,144,2,,,,,,,,2020-06-19 12:24:54,2020-06-19 12:24:54,"24",,"1036"
"4376809","772516","342418",2020-06-26,144,2,,,,,,,,2020-06-26 14:57:10,2020-06-26 14:57:10,"24",,"1036"
"4376810","772516","342418",2020-06-26,144,2,,,,,,,,2020-06-26 14:57:27,2020-06-26 14:57:27,"24",,"1036"
"4376811","772516","342418",2020-06-26,144,2,,,,,,,,2020-06-26 14:57:45,2020-06-26 14:57:45,"24",,"1036"
"4377158","772516","342418",2020-06-29,144,2,,,,,,,,2020-06-29 10:05:35,2020-06-29 10:05:35,"24",,"1036"
"4377159","772516","342418",2020-06-29,144,2,,,,,,,,2020-06-29 10:06:00,2020-06-29 10:06:00,"24",,"1036"
"4378859","772516","342418",2020-07-02,144,2,,,,,,,,2020-07-02 10:32:42,2020-07-02 10:32:42,"24",,"1036"
"4379045","772516","342418",2020-07-02,144,2,,,,,,,,2020-07-02 14:08:53,2020-07-02 14:08:53,"24",,"1036"
"4379942","772516","342418",2020-07-06,144,2,,,,,,,,2020-07-06 14:50:58,2020-07-06 14:50:58,"24",,"1036"
"4381353","772516","342418",2020-07-09,144,2,,,,,,,,2020-07-09 14:20:30,2020-07-09 14:20:30,"24",,"1036"
"4383863","772516","342418",2020-07-16,144,2,,,,,,,,2020-07-16 14:39:03,2020-07-16 14:39:03,"24",,"1036"
"4383874","772516","342418",2020-07-16,144,2,,,,,,,,2020-07-16 15:00:09,2020-07-16 15:00:09,"24",,"1036"
"4384215","772516","342418",2020-07-17,144,2,,,,,,,,2020-07-17 11:36:58,2020-07-17 11:36:58,"24",,"1036"
"4384778","772516","342418",2020-07-20,144,2,,,,,,,,2020-07-20 10:38:56,2020-07-20 10:38:56,"24",,"1036"
"4385791","772516","342418",2020-07-21,144,2,,,,,,,,2020-07-21 17:32:26,2020-07-21 17:32:26,"24",,"1036"
"4386292","772516","342418",2020-07-22,144,2,,,,,,,,2020-07-22 15:28:23,2020-07-22 15:28:23,"24",,"1036"
"4386293","772516","342418",2020-07-22,144,2,,,,,,,,2020-07-22 15:28:47,2020-07-22 15:28:47,"24",,"1036"
"4386832","772516","342418",2020-07-23,144,2,,,,,,,,2020-07-23 14:49:09,2020-07-23 14:49:09,"24",,"1036"
"4387811","772516","342418",2020-07-27,144,2,,,,,,,,2020-07-27 11:58:36,2020-07-27 11:58:36,"24",,"1036"
"4387812","772516","342418",2020-07-27,144,2,,,,,,,,2020-07-27 11:58:58,2020-07-27 11:58:58,"24",,"1036"
"4388130","772516","342418",2020-07-27,144,2,,,,,,,,2020-07-27 17:27:36,2020-07-27 17:27:36,"24",,"1036"
"4388137","772516","342418",2020-07-27,144,2,,,,,,,,2020-07-27 17:41:16,2020-07-27 17:41:16,"24",,"1036"
"4388140","772516","342418",2020-07-27,144,2,,,,,,,,2020-07-27 18:11:49,2020-07-27 18:11:49,"24",,"1036"
"4388852","772516","342418",2020-07-28,144,2,,,,,,,,2020-07-28 17:37:04,2020-07-28 17:37:04,"24",,"1036"
"4389357","772516","342418",2020-07-29,152,8,,,,30,2020-07-29,2020-07-29,,2020-07-29 14:42:34,2020-07-29 14:42:34,"24",,"1036"
"4391260","772516","342418",2020-08-03,152,8,,,,30,2020-08-03,2020-08-03,,2020-08-03 17:42:01,2020-08-03 17:42:01,"24",,"1036"
"4391650","772516","342418",2020-08-04,144,2,,,,,,,,2020-08-04 16:08:08,2020-08-04 16:08:08,"24",,"1036"
"4391803","772516","342418",2020-08-05,144,2,,,,,,,,2020-08-05 09:45:54,2020-08-05 09:45:54,"24",,"1036"
"4392681","772516","342418",2020-08-06,144,2,,,,,,,,2020-08-06 15:40:45,2020-08-06 15:40:45,"24",,"1036"
"4392682","772516","342418",2020-08-06,144,2,,,,,,,,2020-08-06 15:42:04,2020-08-06 15:42:04,"24",,"1036"
"4393259","772516","342418",2020-08-07,144,2,,,,,,,,2020-08-07 15:31:56,2020-08-07 15:31:56,"24",,"1036"
"4393960","772516","342418",2020-08-11,144,2,,,,,,,,2020-08-11 14:40:25,2020-08-11 14:40:25,"24",,"1036"
"4394222","772516","342418",2020-08-12,144,2,,,,,,,,2020-08-12 15:50:19,2020-08-12 15:50:19,"24",,"1036"
"4395682","772516","342418",2020-08-17,144,2,,,,,,,,2020-08-17 17:07:44,2020-08-17 17:07:44,"24",,"1036"
"4396837","772516","342418",2020-08-19,144,2,,,,,,,,2020-08-19 17:33:52,2020-08-19 17:33:52,"24",,"1036"
"4398266","772516","342418",2020-08-24,144,2,,,,,,,,2020-08-24 10:38:09,2020-08-24 10:38:09,"24",,"1036"
"4399812","772516","342418",2020-08-26,144,2,,,,,,,,2020-08-26 14:45:10,2020-08-26 14:45:10,"24",,"1036"
"4399950","772516","342418",2020-08-27,144,2,,,,,,,,2020-08-27 08:50:37,2020-08-27 08:50:37,"24",,"1036"
"4400937","772516","342418",2020-08-28,144,2,,,,,,,,2020-08-28 15:11:43,2020-08-28 15:11:43,"24",,"1036"
"4401819","772516","342418",2020-08-31,144,2,,,,,,,,2020-08-31 17:05:53,2020-08-31 17:05:53,"24",,"1036"
"4453236","794349","342418",2020-12-17,144,2,,,,,,,,2020-12-28 10:50:46,2020-12-28 10:50:46,"26",,"1036"
"4453237","794349","342418",2020-12-17,144,2,,,,,,,,2020-12-28 10:51:17,2020-12-28 10:51:17,"26",,"1036"
"4453238","794349","342418",2020-12-17,144,2,,,,,,,,2020-12-28 10:51:51,2020-12-28 10:51:51,"26",,"1036"
"4453239","794349","342418",2020-12-17,144,2,,,,,,,,2020-12-28 10:52:24,2020-12-28 10:52:24,"26",,"1036"
"4453240","794349","342418",2020-12-17,144,2,,,,,,,,2020-12-28 10:53:02,2020-12-28 10:53:02,"26",,"1036"
"4453241","794349","342418",2020-12-17,144,2,,,,,,,,2020-12-28 10:53:30,2020-12-28 10:53:30,"26",,"1036"
"4453601","794349","342418",2020-12-28,144,2,,,,,,,,2020-12-28 15:49:25,2020-12-28 15:49:25,"24",,"1036"
"4454850","794349","342418",2020-12-30,144,2,,,,,,,,2020-12-30 15:52:52,2020-12-30 15:52:52,"24",,"1036"
"4454857","794349","342418",2020-12-30,144,2,,,,,,,,2020-12-30 16:10:26,2020-12-30 16:10:26,"24",,"1036"
"4455309","794349","342418",2020-12-31,144,2,,,,,,,,2020-12-31 14:45:13,2020-12-31 14:45:13,"24",,"1036"
"4455311","794349","342418",2020-12-31,144,2,,,,,,,,2020-12-31 14:46:44,2020-12-31 14:46:44,"24",,"1036"
"4455975","794349","342418",2021-01-04,144,2,,,,,,,,2021-01-04 15:29:54,2021-01-04 15:29:54,"24",,"1036"
"4456004","794349","342418",2021-01-04,144,2,,,,,,,,2021-01-04 16:12:13,2021-01-04 16:12:13,"24",,"1036"
"4455977","794349","342418",2021-01-04,152,8,,,,30,2021-01-04,2021-01-04,,2021-01-04 15:32:45,2021-01-04 15:32:45,"24",,"1036"
"4456178","794349","342418",2021-01-05,144,2,,,,,,,,2021-01-05 08:33:56,2021-01-05 08:33:56,"24",,"1036"
"4456775","794349","342418",2021-01-06,152,1,,,,500,2021-01-06,2021-01-06,,2021-01-06 09:00:03,2021-01-06 09:00:03,"24",,"1036"
"4456776","794349","342418",2021-01-06,152,1,,,,420,2021-01-06,2021-01-06,,2021-01-06 09:01:17,2021-01-06 09:01:17,"24",,"1036"
"4458282","794349","342418",2021-01-08,144,2,,,,,,,,2021-01-08 15:04:03,2021-01-08 15:04:03,"24",,"1036"
"4459115","794349","342418",2021-01-11,144,2,,,,,,,,2021-01-11 15:57:52,2021-01-11 15:57:52,"24",,"1036"
"4459626","794349","342418",2021-01-12,144,2,,,,,,,,2021-01-12 15:31:55,2021-01-12 15:31:55,"24",,"1036"
"4460898","794349","342418",2021-01-15,144,2,,,,,,,,2021-01-15 11:01:21,2021-01-15 11:01:21,"24",,"1036"
"4461152","794349","342418",2021-01-15,144,2,,,,,,,,2021-01-15 14:31:06,2021-01-15 14:31:06,"24",,"1036"
"4461936","794349","342418",2021-01-19,144,2,,,,,,,,2021-01-19 09:21:56,2021-01-19 09:21:56,"24",,"1036"
"4462479","794349","342418",2021-01-19,144,2,,,,,,,,2021-01-19 15:04:54,2021-01-19 15:04:54,"24",,"1036"
"4463079","794349","342418",2021-01-20,144,2,,,,,,,,2021-01-20 13:19:10,2021-01-20 13:19:10,"24",,"1036"
"4465520","794349","342418",2021-01-26,144,2,,,,,,,,2021-01-26 11:10:04,2021-01-26 11:10:04,"24",,"1036"
"4466919","794349","342418",2021-01-28,144,2,,,,,,,,2021-01-28 09:14:36,2021-01-28 09:14:36,"24",,"1036"
"4468815","794349","342418",2021-02-01,144,2,,,,,,,,2021-02-01 16:28:08,2021-02-01 16:28:08,"24",,"1036"
"4471597","794349","342418",2021-02-05,144,2,,,,,,,,2021-02-05 14:49:08,2021-02-05 14:49:08,"24",,"1036"
"4472415","794349","342418",2021-02-08,144,2,,,,,,,,2021-02-08 15:57:11,2021-02-08 15:57:11,"24",,"1036"
"4474505","794349","342418",2021-02-12,144,2,,,,,,,,2021-02-12 09:28:27,2021-02-12 09:28:27,"24",,"1036"
"4474855","794349","342418",2021-02-12,144,2,,,,,,,,2021-02-12 14:29:27,2021-02-12 14:29:27,"24",,"1036"
"4474863","794349","342418",2021-02-12,144,2,,,,,,,,2021-02-12 14:41:16,2021-02-12 14:41:16,"24",,"1036"
"4476958","794349","342418",2021-02-17,152,1,,,,230,2021-02-17,2021-02-17,,2021-02-17 13:48:43,2021-02-17 13:48:43,"24",,"1036"
"4476961","794349","342418",2021-02-17,152,1,,,,500,2021-02-17,2021-02-17,,2021-02-17 13:52:06,2021-02-17 13:52:06,"24",,"1036"
"4478921","794349","342418",2021-02-19,144,2,,,,,,,,2021-02-19 14:42:09,2021-02-19 14:42:09,"24",,"1036"
"4482236","794349","342418",2021-02-26,144,2,,,,,,,,2021-02-26 12:31:03,2021-02-26 12:31:03,"24",,"1036"
"4483206","794349","342418",2021-03-01,144,2,,,,,,,,2021-03-01 10:33:36,2021-03-01 10:33:36,"24",,"1036"
"4484026","794349","342418",2021-03-02,144,1,,,,,,,,2021-03-02 12:18:41,2021-03-02 12:18:41,"24",,"1036"
"4484027","794349","342418",2021-03-02,144,2,,,,,,,,2021-03-02 12:19:25,2021-03-02 12:19:25,"24",,"1036"
"4484408","794349","342418",2021-03-03,144,2,,,,,,,,2021-03-03 09:25:16,2021-03-03 09:25:16,"24",,"1036"
"4484409","794349","342418",2021-03-03,144,2,,,,,,,,2021-03-03 09:25:44,2021-03-03 09:25:44,"24",,"1036"
"4485041","794349","342418",2021-03-04,152,1,,,,500,2021-03-04,2021-03-04,,2021-03-04 10:45:05,2021-03-04 10:45:05,"24",,"1036"
"4485834","794349","342418",2021-03-05,144,2,,,,,,,,2021-03-05 14:21:18,2021-03-05 14:21:18,"24",,"1036"
"4486904","794349","342418",2021-03-09,144,2,,,,,,,,2021-03-09 09:31:40,2021-03-09 09:31:40,"24",,"1036"
"4488697","794349","342418",2021-03-11,144,2,,,,,,,,2021-03-11 16:06:03,2021-03-11 16:06:03,"24",,"1036"
"4488941","794349","342418",2021-03-12,144,2,,,,,,,,2021-03-12 13:14:53,2021-03-12 13:14:53,"24",,"1036"
"4489648","794349","342418",2021-03-15,144,2,,,,,,,,2021-03-15 12:21:49,2021-03-15 12:21:49,"24",,"1036"
"4489928","794349","342418",2021-03-15,144,2,,,,,,,,2021-03-15 15:25:21,2021-03-15 15:25:21,"24",,"1036"
"4491981","794349","342418",2021-03-19,144,2,,,,,,,,2021-03-19 14:11:17,2021-03-19 14:11:17,"24",,"1036"
"4498392","794349","342418",2021-03-26,144,2,,,,,,,,2021-04-01 10:12:50,2021-04-01 10:12:50,"24",,"1036"
"4498393","794349","342418",2021-04-01,144,2,,,,,,,,2021-04-01 10:15:17,2021-04-01 10:15:17,"24",,"1036"
"4499065","794349","342418",2021-04-02,144,2,,,,,,,,2021-04-02 13:41:49,2021-04-02 13:41:49,"24",,"1036"
"4499066","794349","342418",2021-04-02,144,2,,,,,,,,2021-04-02 13:42:33,2021-04-02 13:42:33,"24",,"1036"
"4499463","794349","342418",2021-04-05,144,2,,,,,,,,2021-04-05 13:42:13,2021-04-05 13:42:13,"24",,"1036"
"4500230","794349","342418",2021-04-07,144,2,,,,,,,,2021-04-07 10:19:12,2021-04-07 10:19:12,"24",,"1036"
"4500618","794349","342418",2021-04-08,152,1,,,,500,2021-04-08,2021-06-07,,2021-04-08 08:37:30,2021-04-08 08:37:30,"24",,"1036"
"4501487","794349","342418",2021-04-09,144,2,,,,,,,,2021-04-09 13:52:03,2021-04-09 13:52:03,"24",,"1036"
"4503744","794349","342418",2021-04-15,144,2,,,,,,,,2021-04-15 15:17:05,2021-04-15 15:17:05,"24",,"1036"
"4505020","794349","342418",2021-04-19,144,2,,,,,,,,2021-04-19 10:06:10,2021-04-19 10:06:10,"24",,"1036"
"4507338","794349","342418",2021-04-23,144,2,,,,,,,,2021-04-23 12:08:21,2021-04-23 12:08:21,"24",,"1036"
"4508136","794349","342418",2021-04-26,144,2,,,,,,,,2021-04-26 15:03:04,2021-04-26 15:03:04,"24",,"1036"
"4510218","794349","342418",2021-04-29,144,2,,,,,,,,2021-04-29 14:32:49,2021-04-29 14:32:49,"24",,"1036"
"4511180","794349","342418",2021-05-03,144,2,,,,,,,,2021-05-03 10:27:04,2021-05-03 10:27:04,"24",,"1036"
"4512695","794349","342418",2021-05-05,144,2,,,,,,,,2021-05-05 16:22:26,2021-05-05 16:22:26,"24",,"1036"
"4513426","794349","342418",2021-05-07,144,2,,,,,,,,2021-05-07 09:53:50,2021-05-07 09:53:50,"24",,"1036"
"4513614","794349","342418",2021-05-07,144,2,,,,,,,,2021-05-07 12:34:14,2021-05-07 12:34:14,"24",,"1036"
"4515534","794349","342418",2021-05-11,144,2,,,,,,,,2021-05-12 16:13:56,2021-05-12 16:13:56,"24",,"1036"
"4515530","794349","342418",2021-05-12,144,2,,,,,,,,2021-05-12 16:04:36,2021-05-12 16:04:36,"24",,"1036"
"4515533","794349","342418",2021-05-12,144,2,,,,,,,,2021-05-12 16:13:12,2021-05-12 16:13:12,"24",,"1036"
"4515997","794349","342418",2021-05-13,144,2,,,,,,,,2021-05-13 13:51:02,2021-05-13 13:51:02,"24",,"1036"
"4516038","794349","342418",2021-05-13,144,2,,,,,,,,2021-05-13 15:05:58,2021-05-13 15:05:58,"24",,"1036"
"4518898","794349","342418",2021-05-20,144,2,,,,,,,,2021-05-20 11:59:14,2021-05-20 11:59:14,"24",,"1036"
"4519349","794349","342418",2021-05-21,144,2,,,,,,,,2021-05-21 10:10:59,2021-05-21 10:10:59,"24",,"1036"
"4520213","794349","342418",2021-05-24,144,2,,,,,,,,2021-05-24 10:42:55,2021-05-24 10:42:55,"24",,"1036"
"4521151","794349","342418",2021-05-25,144,2,,,,,,,,2021-05-25 16:14:22,2021-05-25 16:14:22,"24",,"1036"
"4522485","794349","342418",2021-05-28,144,2,,,,,,,,2021-05-28 12:31:31,2021-05-28 12:31:31,"24",,"1036"
"4524945","794349","342418",2021-06-03,144,2,,,,,,,,2021-06-03 14:14:34,2021-06-03 14:14:34,"24",,"1036"
"4524992","794349","342418",2021-06-03,144,2,,,,,,,,2021-06-03 14:55:48,2021-06-03 14:55:48,"24",,"1036"
"4526720","794349","342418",2021-06-08,144,2,,,,,,,,2021-06-08 16:00:08,2021-06-08 16:00:08,"24",,"1036"
"4526733","794349","342418",2021-06-08,144,2,,,,,,,,2021-06-08 16:10:02,2021-06-08 16:10:02,"24",,"1036"
"4526446","794349","342418",2021-06-08,152,1,,,,500,2021-06-08,2021-08-07,,2021-06-08 11:20:26,2021-06-08 11:20:26,"24",,"1036"
"4526959","794349","342418",2021-06-09,144,2,,,,,,,,2021-06-09 10:55:28,2021-06-09 10:55:28,"24",,"1036"
"4528355","794349","342418",2021-06-11,144,2,,,,,,,,2021-06-11 14:06:46,2021-06-11 14:06:46,"24",,"1036"
"4528374","794349","342418",2021-06-11,144,2,,,,,,,,2021-06-11 14:44:37,2021-06-11 14:44:37,"24",,"1036"
"4529200","794349","342418",2021-06-14,144,2,,,,,,,,2021-06-14 16:41:25,2021-06-14 16:41:25,"24",,"1036"
"4529784","794349","342418",2021-06-15,144,2,,,,,,,,2021-06-15 14:24:15,2021-06-15 14:24:15,"24",,"1036"
"4530811","794349","342418",2021-06-17,144,2,,,,,,,,2021-06-17 14:33:07,2021-06-17 14:33:07,"24",,"1036"
"4532046","794349","342418",2021-06-21,144,2,,,,,,,,2021-06-21 16:13:30,2021-06-21 16:13:30,"24",,"1036"
"4536101","794349","342418",2021-06-29,144,2,,,,,,,,2021-06-29 10:41:28,2021-06-29 10:41:28,"24",,"1036"
"4536129","794349","342418",2021-06-29,144,2,,,,,,,,2021-06-29 11:03:17,2021-06-29 11:03:17,"24",,"1036"
"4536583","794349","342418",2021-06-30,144,2,,,,,,,,2021-06-30 08:39:40,2021-06-30 08:39:40,"24",,"1036"
"4536728","794349","342418",2021-06-30,144,2,,,,,,,,2021-06-30 12:28:23,2021-06-30 12:28:23,"24",,"1036"
"4537439","794349","342418",2021-07-01,144,2,,,,,,,,2021-07-01 10:54:59,2021-07-01 10:54:59,"24",,"1036"
"4537816","794349","342418",2021-07-01,144,2,,,,,,,,2021-07-01 14:39:39,2021-07-01 14:39:39,"24",,"1036"
"4537817","794349","342418",2021-07-01,144,2,,,,,,,,2021-07-01 14:40:12,2021-07-01 14:40:12,"24",,"1036"
"4539153","794349","342418",2021-07-06,144,2,,,,,,,,2021-07-06 15:03:55,2021-07-06 15:03:55,"24",,"1036"
"4539401","794349","342418",2021-07-06,144,2,,,,,,,,2021-07-07 08:23:01,2021-07-07 08:23:01,"24",,"1036"
"4539411","794349","342418",2021-07-07,144,2,,,,,,,,2021-07-07 08:31:20,2021-07-07 08:31:20,"24",,"1036"
"4539539","794349","342418",2021-07-07,144,2,,,,,,,,2021-07-07 12:35:14,2021-07-07 12:35:14,"24",,"1036"
"4539540","794349","342418",2021-07-07,144,2,,,,,,,,2021-07-07 12:40:54,2021-07-07 12:40:54,"24",,"1036"
"4539874","794349","342418",2021-07-07,144,2,,,,,,,,2021-07-07 16:24:11,2021-07-07 16:24:11,"24",,"1036"
"4539467","794349","342418",2021-07-07,152,1,,,,500,2021-07-07,2021-09-05,,2021-07-07 10:47:00,2021-07-07 10:47:00,"24",,"1036"
"4540096","794349","342418",2021-07-08,144,2,,,,,,,,2021-07-08 09:26:26,2021-07-08 09:26:26,"24",,"1036"
"4541827","794349","342418",2021-07-12,144,2,,,,,,,,2021-07-12 16:57:46,2021-07-12 16:57:46,"24",,"1036"
"4541969","794349","342418",2021-07-13,144,2,,,,,,,,2021-07-13 09:49:27,2021-07-13 09:49:27,"24",,"1036"
"4543319","794349","342418",2021-07-14,144,2,,,,,,,,2021-07-15 08:28:13,2021-07-15 08:28:13,"24",,"1036"
"4542557","794349","342418",2021-07-14,152,4,,,,220.21,2021-07-14,2021-07-14,,2021-07-14 08:40:57,2021-07-14 08:40:57,"24",,"1036"
"4543616","794349","342418",2021-07-15,144,2,,,,,,,,2021-07-15 14:01:04,2021-07-15 14:01:04,"24",,"1036"
"4545694","794349","342418",2021-07-20,144,2,,,,,,,,2021-07-20 11:28:03,2021-07-20 11:28:03,"24",,"1036"
"4545930","794349","342418",2021-07-20,144,2,,,,,,,,2021-07-20 16:12:14,2021-07-20 16:12:14,"24",,"1036"
"4546505","794349","342418",2021-07-21,144,2,,,,,,,,2021-07-21 15:03:10,2021-07-21 15:03:10,"24",,"1036"
"4551359","794349","342418",2021-08-02,144,2,,,,,,,,2021-08-02 12:18:59,2021-08-02 12:18:59,"24",,"1036"
"4551725","794349","342418",2021-08-03,144,2,,,,,,,,2021-08-03 09:50:06,2021-08-03 09:50:06,"24",,"1036"
"4552250","794349","342418",2021-08-04,144,2,,,,,,,,2021-08-04 09:06:36,2021-08-04 09:06:36,"24",,"1036"
"4552603","794349","342418",2021-08-04,144,2,,,,,,,,2021-08-04 15:39:31,2021-08-04 15:39:31,"24",,"1036"
"4552609","794349","342418",2021-08-04,144,2,,,,,,,,2021-08-04 15:57:02,2021-08-04 15:57:02,"24",,"1036"
"4552965","794349","342418",2021-08-04,144,2,,,,,,,,2021-08-05 11:25:16,2021-08-05 11:25:16,"24",,"1036"
"4552964","794349","342418",2021-08-05,144,2,,,,,,,,2021-08-05 11:23:47,2021-08-05 11:23:47,"24",,"1036"
"4554093","794349","342418",2021-08-09,144,2,,,,,,,,2021-08-09 11:15:03,2021-08-09 11:15:03,"24",,"1036"
"4555239","794349","342418",2021-08-11,144,2,,,,,,,,2021-08-11 13:09:44,2021-08-11 13:09:44,"24",,"1036"
"4557163","794349","342418",2021-08-17,144,2,,,,,,,,2021-08-17 09:21:58,2021-08-17 09:21:58,"24",,"1036"
"4557164","794349","342418",2021-08-17,144,2,,,,,,,,2021-08-17 09:22:27,2021-08-17 09:22:27,"24",,"1036"
"4557671","794349","342418",2021-08-18,144,2,,,,,,,,2021-08-18 09:16:46,2021-08-18 09:16:46,"24",,"1036"
"4560524","794349","342418",2021-08-24,144,2,,,,,,,,2021-08-24 14:53:22,2021-08-24 14:53:22,"24",,"1036"
"4561329","794349","342418",2021-08-25,144,2,,,,,,,,2021-08-25 16:24:18,2021-08-25 16:24:18,"24",,"1036"
"4561335","794349","342418",2021-08-25,144,2,,,,,,,,2021-08-25 16:26:32,2021-08-25 16:26:32,"24",,"1036"
"4561355","794349","342418",2021-08-25,144,2,,,,,,,,2021-08-25 17:18:49,2021-08-25 17:18:49,"24",,"1036"
"4562955","794349","342418",2021-08-30,144,2,,,,,,,,2021-08-30 09:25:06,2021-08-30 09:25:06,"24",,"1036"
"4565417","794349","342418",2021-09-02,144,2,,,,,,,,2021-09-02 14:06:59,2021-09-02 14:06:59,"24",,"1036"
"4567321","794349","342418",2021-09-08,144,2,,,,,,,,2021-09-08 12:40:04,2021-09-08 12:40:04,"24",,"1036"
"4566947","794349","342418",2021-09-08,152,1,,,,500,2021-09-08,2021-11-07,,2021-09-08 08:42:00,2021-09-08 08:42:00,"24",,"1036"
"4570364","794349","342418",2021-09-15,144,2,,,,,,,,2021-09-15 10:35:45,2021-09-15 10:35:45,"24",,"1036"
"4573878","794349","342418",2021-09-22,144,2,,,,,,,,2021-09-22 16:37:49,2021-09-22 16:37:49,"24",,"1036"
"4575793","794349","342418",2021-09-27,144,2,,,,,,,,2021-09-27 16:29:48,2021-09-27 16:29:48,"24",,"1036"
"4577095","794349","342418",2021-09-29,144,2,,,,,,,,2021-09-29 14:39:21,2021-09-29 14:39:21,"24",,"1036"
"4578741","794349","342418",2021-10-04,144,2,,,,,,,,2021-10-04 09:26:15,2021-10-04 09:26:15,"24",,"1036"
"4578837","794349","342418",2021-10-04,144,2,,,,,,,,2021-10-04 11:27:09,2021-10-04 11:27:09,"24",,"1036"
"4579176","794349","342418",2021-10-04,152,1,,,,500,2021-10-04,2021-12-03,,2021-10-04 15:52:29,2021-10-04 15:52:29,"24",,"1036"
"4582655","794349","342418",2021-10-11,144,2,,,,,,,,2021-10-11 17:02:20,2021-10-11 17:02:20,"24",,"1036"
