"YouthEducationStatusID","EnrollmentID","PersonalID","InformationDate","CurrentSchoolAttend","MostRecentEdStatus","CurrentEdStatus","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"809369_1","809369","21786",2021-04-14,,,,1,2021-04-15 06:12:34,2021-04-24 07:49:04,"59",,"1036"
"809369_3","809369","21786",2021-04-23,,,,3,2021-04-15 06:12:34,2021-04-24 07:49:04,"59",,"1036"
"810567_1","810567","21786",2021-04-22,,,,1,2021-04-27 08:16:01,2021-04-27 08:17:44,"25",,"1036"
"810567_3","810567","21786",2021-04-23,,,,3,2021-04-27 08:16:01,2021-04-27 08:17:44,"25",,"1036"
"832681_1","832681","21786",2021-12-03,,,,1,2021-12-06 09:53:02,2022-07-18 12:26:22,"28",,"1036"
"832681_3","832681","21786",2022-07-15,,,,3,2021-12-06 09:53:02,2022-07-18 12:26:22,"28",,"1036"
"826272_1","826272","36129",2021-09-30,,,,1,2021-09-30 08:36:29,2021-11-16 10:01:32,"27",,"1036"
"826272_3","826272","36129",2021-11-16,,,,3,2021-09-30 08:36:29,2021-11-16 10:01:32,"27",,"1036"
"826415_1","826415","43068",2021-08-26,,,,1,2021-09-30 14:22:13,2021-09-30 15:02:48,"26",,"1036"
"826415_3","826415","43068",2021-09-25,,,,3,2021-09-30 14:22:13,2021-09-30 15:02:48,"26",,"1036"
"760679_1","760679","43623",2020-01-29,,,,1,2020-01-30 09:17:26,2020-03-18 15:05:57,"26",,"1036"
"760679_3","760679","43623",2020-03-17,,,,3,2020-01-30 09:17:26,2020-03-18 15:05:57,"26",,"1036"
"860713_1","860713","43623",2022-08-20,,,,1,2022-08-25 12:54:14,2022-09-22 15:40:59,"30",,"1036"
"860713_3","860713","43623",2022-09-20,,,,3,2022-08-25 12:54:14,2022-09-22 15:40:59,"30",,"1036"
"805171_1","805171","59514",2021-03-09,,,,1,2021-03-09 14:11:05,2022-02-11 10:51:58,"18",,"1036"
"805171_3","805171","59514",2022-02-11,,,,3,2021-03-09 14:11:05,2022-02-11 10:51:58,"18",,"1036"
"784871_1","784871","68121",2020-10-06,,,,1,2020-10-08 09:05:54,2022-08-03 08:34:30,"26",,"1036"
"784871_3","784871","68121",2020-12-10,,,,3,2020-10-08 09:05:54,2022-08-03 08:34:30,"26",,"1036"
"755925_1","755925","78095",2019-12-18,,,,1,2019-12-19 11:08:39,2020-01-21 13:05:17,"26",,"1036"
"755925_3","755925","78095",2020-01-17,,,,3,2019-12-19 11:08:39,2020-01-21 13:05:17,"26",,"1036"
"790774_1","790774","78095",2020-11-20,,,,1,2020-12-01 10:06:36,2021-01-05 11:54:50,"26",,"1036"
"790774_3","790774","78095",2021-01-01,,,,3,2020-12-01 10:06:36,2021-01-05 11:54:50,"26",,"1036"
"785466_1","785466","84267",2020-10-05,,,,1,2020-10-14 10:57:48,2020-12-03 21:36:26,"27",,"1036"
"785466_3","785466","84267",2020-11-30,,,,3,2020-10-14 10:57:48,2020-12-03 21:36:26,"27",,"1036"
"773950_1","773950","86706",2020-06-17,,,,1,2020-06-22 10:41:49,2020-06-22 11:11:06,"18",,"1036"
"773950_3","773950","86706",2020-06-19,,,,3,2020-06-22 10:41:49,2020-06-22 11:11:06,"18",,"1036"
"767294_1","767294","87330",2020-03-23,,,,1,2020-03-28 18:08:24,2020-03-28 18:08:24,"16",,"1036"
"783811_1","783811","90008",2020-09-28,,,,1,2020-09-29 11:11:45,2020-09-29 11:18:22,"26",,"1036"
"783811_3","783811","90008",2020-09-28,,,,3,2020-09-29 11:11:45,2020-09-29 11:18:22,"26",,"1036"
"812731_1","812731","90008",2021-04-28,,,,1,2021-05-18 11:35:33,2021-05-18 11:51:16,"26",,"1036"
"812731_3","812731","90008",2021-05-01,,,,3,2021-05-18 11:35:33,2021-05-18 11:51:16,"26",,"1036"
"764793_1","764793","93311",2020-02-21,,,,1,2020-03-04 09:49:30,2020-09-03 11:42:34,"26",,"1036"
"764793_3","764793","93311",2020-03-03,,,,3,2020-03-04 09:49:30,2020-09-03 11:42:34,"26",,"1036"
"796775_1","796775","93311",2021-01-12,,,,1,2021-01-13 15:23:53,2021-02-03 12:15:35,"26",,"1036"
"796775_3","796775","93311",2021-01-18,,,,3,2021-01-13 15:23:53,2021-02-03 12:15:35,"26",,"1036"
"755856_1","755856","99230",2019-12-16,,,,1,2019-12-18 15:57:43,2021-02-03 14:30:24,"27",,"1036"
"755856_3","755856","99230",2020-01-28,,,,3,2019-12-18 15:57:43,2021-02-03 14:30:24,"27",,"1036"
"827158_1","827158","104510",2021-10-05,,,,1,2021-10-07 08:39:49,2022-04-22 08:13:18,"26",,"1036"
"827158_3","827158","104510",2022-03-04,,,,3,2021-10-07 08:39:49,2022-04-22 08:13:18,"26",,"1036"
"846319_1","846319","107765",2022-04-05,,,,1,2022-04-05 09:44:15,2022-08-04 14:28:50,"29",,"1036"
"846319_3","846319","107765",2022-08-04,,,,3,2022-04-05 09:44:15,2022-08-04 14:28:50,"29",,"1036"
"818710_1","818710","107808",2021-07-15,,,,1,2021-07-15 15:54:57,2021-11-15 16:22:43,"28",,"1036"
"818710_3","818710","107808",2021-11-10,,,,3,2021-07-15 15:54:57,2021-11-15 16:22:43,"28",,"1036"
"834510_1","834510","107808",2021-12-11,,,,1,2021-12-22 17:29:54,2021-12-22 17:33:01,"28",,"1036"
"834510_3","834510","107808",2021-12-16,,,,3,2021-12-22 17:29:54,2021-12-22 17:33:01,"28",,"1036"
"815346_1","815346","113280",2021-06-10,,,,1,2021-06-14 15:44:33,2021-08-02 08:59:40,"28",,"1036"
"815346_3","815346","113280",2021-07-30,,,,3,2021-06-14 15:44:33,2021-08-02 08:59:40,"28",,"1036"
"820486_1","820486","113280",2021-07-30,,,,1,2021-08-02 09:12:59,2022-08-14 10:29:23,"27",,"1036"
"820486_3","820486","113280",2022-08-14,,,,3,2021-08-02 09:12:59,2022-08-14 10:29:23,"27",,"1036"
"858051_1","858051","134283",2022-08-01,,,,1,2022-08-01 10:12:23,2022-08-01 10:12:23,"29",,"1036"
"197730_1","197730","135627",2007-05-05,,,,1,2007-05-07 08:13:47,2017-10-12 17:04:29,"23",,"1036"
"856593_1","856593","136302",2022-07-07,,,,1,2022-07-17 15:23:27,2022-07-17 15:27:34,"27",,"1036"
"856593_3","856593","136302",2022-07-17,,,,3,2022-07-17 15:23:27,2022-07-17 15:27:34,"27",,"1036"
"850615_1","850615","142792",2022-05-17,,,,1,2022-05-18 16:05:59,2022-05-26 16:25:15,"29",,"1036"
"850615_3","850615","142792",2022-05-25,,,,3,2022-05-18 16:05:59,2022-05-26 16:25:15,"29",,"1036"
"839013_1","839013","142794",2022-01-28,,,,1,2022-01-30 14:45:59,2022-02-02 15:07:43,"29",,"1036"
"839013_3","839013","142794",2022-01-30,,,,3,2022-01-30 14:45:59,2022-02-02 15:07:43,"29",,"1036"
"820924_1","820924","171024",2021-07-15,,,,1,2021-08-05 12:39:02,2022-08-24 11:22:51,"30",,"1036"
"820924_3","820924","171024",2021-09-27,,,,3,2021-08-05 12:39:02,2022-08-24 11:22:51,"30",,"1036"
"829897_1","829897","173672",2021-11-03,,,,1,2021-11-07 23:54:02,2021-11-07 23:59:29,"27",,"1036"
"829897_3","829897","173672",2021-11-04,,,,3,2021-11-07 23:54:02,2021-11-07 23:59:29,"27",,"1036"
"825860_1","825860","190891",2021-09-16,,,,1,2021-09-25 06:10:31,2021-09-25 06:18:28,"28",,"1036"
"825860_3","825860","190891",2021-09-25,,,,3,2021-09-25 06:10:31,2021-09-25 06:18:28,"28",,"1036"
"726776_1","726776","191486",2019-03-04,,,,1,2019-03-04 13:47:59,2021-01-25 08:07:12,"26",,"1036"
"726776_3","726776","191486",2021-01-20,,,,3,2019-03-04 13:47:59,2021-01-25 08:07:12,"26",,"1036"
"713611_1","713611","198195",2018-10-23,,,,1,2018-10-30 10:49:12,2020-11-13 07:27:56,"26",,"1036"
"713611_3","713611","198195",2020-10-29,,,,3,2018-10-30 10:49:12,2020-11-13 07:27:56,"26",,"1036"
"822608_1","822608","206409",2021-08-10,,,,1,2021-08-24 10:34:36,2021-08-24 10:43:04,"26",,"1036"
"822608_3","822608","206409",2021-08-13,,,,3,2021-08-24 10:34:36,2021-08-24 10:43:04,"26",,"1036"
"855949_1","855949","219231",2022-07-11,,,,1,2022-07-11 10:29:12,2022-07-11 10:29:12,"30",,"1036"
"792517_1","792517","232980",2020-11-19,,,,1,2020-12-14 02:38:52,2020-12-14 02:45:16,"27",,"1036"
"792517_3","792517","232980",2020-11-20,,,,3,2020-12-14 02:38:52,2020-12-14 02:45:16,"27",,"1036"
"833148_1","833148","277976",2021-12-07,,,,1,2021-12-09 09:50:35,2022-06-06 13:54:05,"28",,"1036"
"833148_3","833148","277976",2022-06-04,,,,3,2021-12-09 09:50:35,2022-06-06 13:54:05,"28",,"1036"
"839012_1","839012","282322",2022-01-27,,,,1,2022-01-30 14:28:04,2022-02-17 15:03:41,"29",,"1036"
"839012_3","839012","282322",2022-02-11,,,,3,2022-01-30 14:28:04,2022-02-17 15:03:41,"29",,"1036"
"812692_1","812692","287329",2021-05-16,,,,1,2021-05-18 09:15:21,2021-06-16 13:00:22,"27",,"1036"
"812692_3","812692","287329",2021-06-16,,,,3,2021-05-18 09:15:21,2021-06-16 13:00:22,"27",,"1036"
"810798_1","810798","305203",2021-04-23,,,,1,2021-04-28 13:18:54,2021-05-25 10:33:11,"26",,"1036"
"810798_3","810798","305203",2021-05-19,,,,3,2021-04-28 13:18:54,2021-05-25 10:33:11,"26",,"1036"
"833221_1","833221","305204",2021-10-30,,,,1,2021-12-09 15:56:48,2021-12-16 13:21:25,"26",,"1036"
"833221_3","833221","305204",2021-11-25,,,,3,2021-12-09 15:56:48,2021-12-16 13:21:25,"26",,"1036"
"863700_1","863700","305204",2022-09-21,,,,1,2022-09-22 15:23:27,2022-09-22 15:23:27,"30",,"1036"
"758206_1","758206","328052",2020-01-09,,,,1,2020-01-09 13:14:32,2020-01-22 13:58:25,"26",,"1036"
"758206_3","758206","328052",2020-01-16,,,,3,2020-01-09 13:14:32,2020-01-22 13:58:25,"26",,"1036"
"789848_1","789848","332194",2020-11-17,,,,1,2020-11-21 20:11:30,2020-11-21 20:15:43,"25",,"1036"
"789848_3","789848","332194",2020-11-20,,,,3,2020-11-21 20:11:30,2020-11-21 20:15:43,"25",,"1036"
"772516_1","772516","342418",2020-06-02,,,,1,2020-06-04 07:49:14,2020-08-31 17:11:57,"24",,"1036"
"772516_3","772516","342418",2020-08-31,,,,3,2020-06-04 07:49:14,2020-08-31 17:11:57,"24",,"1036"
"794349_1","794349","342418",2020-12-17,,,,1,2020-12-28 10:01:33,2021-12-09 12:42:20,"24",,"1036"
"794349_3","794349","342418",2021-12-09,,,,3,2020-12-28 10:01:33,2021-12-09 12:42:20,"24",,"1036"
"695939_1","695939","346797",2017-04-28,,,,1,2018-04-18 15:22:52,2018-04-18 15:22:52,"19",,"1036"
"797030_1","797030","351016",2021-01-13,,,,1,2021-01-14 14:09:12,2021-03-29 09:25:28,"24",,"1036"
"797030_3","797030","351016",2021-03-26,,,,3,2021-01-14 14:09:12,2021-03-29 09:25:28,"24",,"1036"
"816455_1","816455","381790",2021-06-16,,,,1,2021-06-23 14:27:27,2021-06-23 14:35:52,"26",,"1036"
"816455_3","816455","381790",2021-06-19,,,,3,2021-06-23 14:27:27,2021-06-23 14:35:52,"26",,"1036"
"851920_1","851920","389278",2022-05-26,,,,1,2022-06-02 15:55:50,2022-06-02 16:03:14,"29",,"1036"
"851920_3","851920","389278",2022-06-01,,,,3,2022-06-02 15:55:50,2022-06-02 16:03:14,"29",,"1036"
"799759_1","799759","396646",2021-02-01,,,,1,2021-02-01 08:45:57,2021-05-20 09:49:29,"26",,"1036"
"799759_3","799759","396646",2021-05-20,,,,3,2021-02-01 08:45:57,2021-05-20 09:49:29,"26",,"1036"
"802896_1","802896","399356",2021-02-19,,,,1,2021-02-19 09:53:10,2021-05-18 15:31:36,"26",,"1036"
"802896_3","802896","399356",2021-05-18,,,,3,2021-02-19 09:53:10,2021-05-18 15:31:36,"26",,"1036"
"824967_1","824967","399473",2021-09-16,,,,1,2021-09-16 13:08:43,2022-02-09 08:56:54,"26",,"1036"
"824967_3","824967","399473",2022-02-09,,,,3,2021-09-16 13:08:43,2022-02-09 08:56:54,"26",,"1036"
"796666_1","796666","399656",2021-01-13,,,,1,2021-01-13 11:40:45,2022-06-08 13:11:46,"18",,"1036"
"796666_3","796666","399656",2022-06-08,,,,3,2021-01-13 11:40:45,2022-06-08 13:11:46,"18",,"1036"
"843491_1","843491","399914",2022-03-10,,,,1,2022-03-10 15:25:15,2022-05-12 10:50:28,"26",,"1036"
"843491_3","843491","399914",2022-05-12,,,,3,2022-03-10 15:25:15,2022-05-12 10:50:28,"26",,"1036"
"789927_1","789927","400818",2020-11-23,,,,1,2020-11-23 11:15:35,2021-05-18 11:26:20,"26",,"1036"
"789927_3","789927","400818",2021-05-18,,,,3,2020-11-23 11:15:35,2021-05-18 11:26:20,"26",,"1036"
"845637_1","845637","401223",2022-03-30,,,,1,2022-03-30 15:14:46,2022-06-07 12:49:28,"28",,"1036"
"845637_3","845637","401223",2022-06-07,,,,3,2022-03-30 15:14:46,2022-06-07 12:49:28,"28",,"1036"
"823056_1","823056","401307",2021-08-25,,,,1,2021-08-27 11:15:04,2021-09-10 08:39:44,"27",,"1036"
"823056_3","823056","401307",2021-09-09,,,,3,2021-08-27 11:15:04,2021-09-10 08:39:44,"27",,"1036"
"793898_1","793898","401403",2020-12-22,,,,1,2020-12-22 11:12:11,2021-05-18 10:11:00,"26",,"1036"
"793898_3","793898","401403",2021-05-18,,,,3,2020-12-22 11:12:11,2021-05-18 10:11:00,"26",,"1036"
"781427_1","781427","401481",2020-09-03,,,,1,2020-09-04 09:39:26,2021-02-08 15:42:58,"27",,"1036"
"781427_3","781427","401481",2021-02-08,,,,3,2020-09-04 09:39:26,2021-02-08 15:42:58,"27",,"1036"
"802627_1","802627","401618",2021-02-18,,,,1,2021-02-18 09:38:47,2021-05-18 10:40:16,"26",,"1036"
"802627_3","802627","401618",2021-05-18,,,,3,2021-02-18 09:38:47,2021-05-18 10:40:16,"26",,"1036"
"818937_1","818937","402106",2021-07-19,,,,1,2021-07-19 11:07:04,2022-02-08 14:15:15,"26",,"1036"
"818937_3","818937","402106",2022-02-08,,,,3,2021-07-19 11:07:04,2022-02-08 14:15:15,"26",,"1036"
"832975_1","832975","402477",2021-12-02,,,,1,2021-12-07 21:16:10,2022-01-27 20:09:43,"29",,"1036"
"832975_3","832975","402477",2022-01-24,,,,3,2021-12-07 21:16:10,2022-01-27 20:09:43,"29",,"1036"
"824622_1","824622","402670",2021-09-14,,,,1,2021-09-14 11:12:55,2022-03-31 14:42:57,"23",,"1036"
"824622_3","824622","402670",2022-03-13,,,,3,2021-09-14 11:12:55,2022-03-31 14:42:57,"23",,"1036"
"816327_1","816327","402933",2021-06-22,,,,1,2021-06-22 16:16:17,2022-02-10 08:46:44,"26",,"1036"
"816327_3","816327","402933",2022-02-07,,,,3,2021-06-22 16:16:17,2022-02-10 08:46:44,"26",,"1036"
"818739_1","818739","403143",2021-07-16,,,,1,2021-07-16 09:15:42,2022-02-08 12:06:19,"26",,"1036"
"818739_3","818739","403143",2022-02-08,,,,3,2021-07-16 09:15:42,2022-02-08 12:06:19,"26",,"1036"
"846759_1","846759","403415",2022-04-08,,,,1,2022-04-08 11:27:09,2022-07-18 11:00:49,"30",,"1036"
"846759_3","846759","403415",2022-07-18,,,,3,2022-04-08 11:27:09,2022-07-18 11:00:49,"30",,"1036"
"832324_1","832324","403497",2021-12-02,,,,1,2021-12-02 10:20:08,2022-04-29 14:46:57,"23",,"1036"
"832324_3","832324","403497",2022-04-29,,,,3,2021-12-02 10:20:08,2022-04-29 14:46:57,"23",,"1036"
"781002_1","781002","403975",2020-08-10,,,,1,2020-09-01 10:57:40,2020-10-05 11:25:05,"27",,"1036"
"781002_3","781002","403975",2020-09-30,,,,3,2020-09-01 10:57:40,2020-10-05 11:25:05,"27",,"1036"
"792935_1","792935","403975",2020-12-10,,,,1,2020-12-16 09:00:00,2021-01-29 13:33:15,"27",,"1036"
"792935_3","792935","403975",2021-01-28,,,,3,2020-12-16 09:00:00,2021-01-29 13:33:15,"27",,"1036"
"851260_1","851260","403975",2022-05-11,,,,1,2022-05-25 17:59:52,2022-06-23 08:38:02,"28",,"1036"
"851260_3","851260","403975",2022-06-20,,,,3,2022-05-25 17:59:52,2022-06-23 08:38:02,"28",,"1036"
"783062_1","783062","404559",2020-09-18,,,,1,2020-09-22 15:33:10,2021-05-18 14:03:09,"26",,"1036"
"783062_3","783062","404559",2021-05-18,,,,3,2020-09-22 15:33:10,2021-05-18 14:03:09,"26",,"1036"
"845391_1","845391","404575",2022-03-29,,,,1,2022-03-29 13:53:15,2022-04-14 09:07:26,"26",,"1036"
"845391_3","845391","404575",2022-04-14,,,,3,2022-03-29 13:53:15,2022-04-14 09:07:26,"26",,"1036"
"847917_1","847917","404575",2022-04-20,,,,1,2022-04-20 15:13:10,2022-07-18 13:29:42,"30",,"1036"
"847917_3","847917","404575",2022-07-18,,,,3,2022-04-20 15:13:10,2022-07-18 13:29:42,"30",,"1036"
"807951_1","807951","404877",2021-04-01,,,,1,2021-04-02 10:02:39,2021-06-30 08:01:02,"23",,"1036"
"807951_3","807951","404877",2021-06-29,,,,3,2021-04-02 10:02:39,2021-06-30 08:01:02,"23",,"1036"
"777142_1","777142","405760",2020-07-16,,,,1,2020-07-23 16:36:54,2020-09-02 14:28:34,"26",,"1036"
"777142_3","777142","405760",2020-09-01,,,,3,2020-07-23 16:36:54,2020-09-02 14:28:34,"26",,"1036"
"790370_1","790370","405760",2020-11-25,,,,1,2020-11-25 09:36:46,2021-06-01 10:36:04,"26",,"1036"
"790370_3","790370","405760",2021-03-03,,,,3,2020-11-25 09:36:46,2021-06-01 10:36:04,"26",,"1036"
"844500_1","844500","405760",2022-03-21,,,,1,2022-03-21 13:46:35,2022-04-07 13:55:08,"26",,"1036"
"844500_3","844500","405760",2022-04-07,,,,3,2022-03-21 13:46:35,2022-04-07 13:55:08,"26",,"1036"
"772577_1","772577","406494",2020-06-01,,,,1,2020-06-04 09:44:09,2020-06-22 13:35:48,"18",,"1036"
"772577_3","772577","406494",2020-06-03,,,,3,2020-06-04 09:44:09,2020-06-22 13:35:48,"18",,"1036"
"790761_1","790761","406632",2020-12-01,,,,1,2020-12-01 09:37:51,2021-05-18 09:45:41,"26",,"1036"
"790761_3","790761","406632",2021-05-18,,,,3,2020-12-01 09:37:51,2021-05-18 09:45:41,"26",,"1036"
"766848_1","766848","406861",2020-03-24,,,,1,2020-03-24 14:27:30,2020-03-26 08:54:23,"18",,"1036"
"766848_3","766848","406861",2020-03-25,,,,3,2020-03-24 14:27:30,2020-03-26 08:54:23,"18",,"1036"
"799684_1","799684","406861",2021-01-25,,,,1,2021-01-30 16:21:34,2021-02-03 12:54:48,"26",,"1036"
"799684_3","799684","406861",2021-02-03,,,,3,2021-01-30 16:21:34,2021-02-03 12:54:48,"26",,"1036"
"806233_1","806233","406942",2021-03-17,,,,1,2021-03-17 15:38:33,2021-05-25 11:41:39,"26",,"1036"
"806233_3","806233","406942",2021-05-25,,,,3,2021-03-17 15:38:33,2021-05-25 11:41:39,"26",,"1036"
"763815_1","763815","407089",2020-02-20,,,,1,2020-02-25 11:38:08,2020-04-22 12:48:05,"18",,"1036"
"763815_3","763815","407089",2020-04-20,,,,3,2020-02-25 11:38:08,2020-04-22 12:48:05,"18",,"1036"
"820356_3","820356","407326",2021-07-30,,,,3,2021-07-30 11:57:05,2021-07-30 12:08:16,"28",,"1036"
"820356_1","820356","407326",2021-07-30,,,,1,2021-07-30 11:57:05,2021-07-30 12:08:16,"28",,"1036"
"778050_1","778050","407610",2020-07-30,,,,1,2020-08-03 10:28:15,2020-09-02 15:40:34,"26",,"1036"
"778050_3","778050","407610",2020-09-01,,,,3,2020-08-03 10:28:15,2020-09-02 15:40:34,"26",,"1036"
"783669_1","783669","407610",2020-09-28,,,,1,2020-09-28 15:02:10,2021-04-15 11:29:22,"27",,"1036"
"783669_3","783669","407610",2021-04-15,,,,3,2020-09-28 15:02:10,2021-04-15 11:29:22,"27",,"1036"
"792893_1","792893","407961",2020-12-15,,,,1,2020-12-15 15:29:44,2021-01-08 08:15:12,"27",,"1036"
"792893_3","792893","407961",2021-01-08,,,,3,2020-12-15 15:29:44,2021-01-08 08:15:12,"27",,"1036"
"843823_1","843823","408489",2022-03-15,,,,1,2022-03-15 08:40:01,2022-06-07 09:24:01,"28",,"1036"
"843823_3","843823","408489",2022-06-07,,,,3,2022-03-15 08:40:01,2022-06-07 09:24:01,"28",,"1036"
"772871_1","772871","408674",2020-06-04,,,,1,2020-06-08 16:52:48,2021-05-18 09:05:34,"26",,"1036"
"772871_3","772871","408674",2021-05-18,,,,3,2020-06-08 16:52:48,2021-05-18 09:05:34,"26",,"1036"
"830533_1","830533","409296",2021-11-12,,,,1,2021-11-12 11:56:46,2022-02-09 14:27:37,"26",,"1036"
"830533_3","830533","409296",2022-02-09,,,,3,2021-11-12 11:56:46,2022-02-09 14:27:37,"26",,"1036"
"803117_1","803117","410705",2021-02-22,,,,1,2021-02-22 13:38:08,2021-05-17 08:09:45,"26",,"1036"
"803117_3","803117","410705",2021-05-17,,,,3,2021-02-22 13:38:08,2021-05-17 08:09:45,"26",,"1036"
"813537_1","813537","411055",2021-05-25,,,,1,2021-05-25 17:19:16,2021-06-03 13:38:25,"27",,"1036"
"813537_3","813537","411055",2021-05-31,,,,3,2021-05-25 17:19:16,2021-06-03 13:38:25,"27",,"1036"
"831059_1","831059","412246",2021-11-17,,,,1,2021-11-17 14:57:09,2022-08-03 08:00:01,"26",,"1036"
"831059_3","831059","412246",2022-06-10,,,,3,2021-11-17 14:57:09,2022-08-03 08:00:01,"26",,"1036"
"845423_1","845423","412477",2022-03-24,,,,1,2022-03-29 15:04:14,2022-05-03 12:50:54,"29",,"1036"
"845423_3","845423","412477",2022-04-30,,,,3,2022-03-29 15:04:14,2022-05-03 12:50:54,"29",,"1036"
"849041_1","849041","414201",2022-04-26,,,,1,2022-05-03 10:07:51,2022-05-05 16:42:55,"27",,"1036"
"849041_3","849041","414201",2022-05-06,,,,3,2022-05-03 10:07:51,2022-05-05 16:42:55,"27",,"1036"
"778023_1","778023","414922",2020-07-28,,,,1,2020-08-03 09:43:11,2020-09-02 15:29:25,"26",,"1036"
"778023_3","778023","414922",2020-09-01,,,,3,2020-08-03 09:43:11,2020-09-02 15:29:25,"26",,"1036"
"827687_1","827687","415417",2021-10-13,,,,1,2021-10-13 11:20:39,2022-02-09 11:20:06,"26",,"1036"
"827687_3","827687","415417",2022-02-09,,,,3,2021-10-13 11:20:39,2022-02-09 11:20:06,"26",,"1036"
"856171_1","856171","415417",2022-07-12,,,,1,2022-07-13 08:30:52,2022-07-13 08:30:52,"24",,"1036"
"858682_1","858682","416498",2022-08-04,,,,1,2022-08-05 10:44:08,2022-09-14 14:54:41,"24",,"1036"
"858682_3","858682","416498",2022-08-31,,,,3,2022-08-05 10:44:08,2022-09-14 14:54:41,"24",,"1036"
"845025_1","845025","416672",2022-03-25,,,,1,2022-03-25 08:38:45,2022-06-07 12:08:58,"28",,"1036"
"845025_3","845025","416672",2022-06-07,,,,3,2022-03-25 08:38:45,2022-06-07 12:08:58,"28",,"1036"
"776061_1","776061","416696",2020-07-07,,,,1,2020-07-15 09:33:59,2020-09-02 12:57:48,"26",,"1036"
"776061_3","776061","416696",2020-09-01,,,,3,2020-07-15 09:33:59,2020-09-02 12:57:48,"26",,"1036"
"819720_1","819720","416807",2021-07-26,,,,1,2021-07-26 10:41:47,2021-09-21 11:59:48,"28",,"1036"
"819720_3","819720","416807",2021-09-08,,,,3,2021-07-26 10:41:47,2021-09-21 11:59:48,"28",,"1036"
"860819_1","860819","416830",2022-08-22,,,,1,2022-08-26 08:52:45,2022-08-26 08:52:45,"24",,"1036"
"815052_1","815052","418051",2021-06-09,,,,1,2021-06-10 16:56:52,2021-09-10 09:15:41,"27",,"1036"
"815052_3","815052","418051",2021-09-09,,,,3,2021-06-10 16:56:52,2021-09-10 09:15:41,"27",,"1036"
"841394_1","841394","418188",2022-02-11,,,,1,2022-02-18 12:44:44,2022-07-01 10:20:18,"24",,"1036"
