"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"796497_3","796497","21475",2022-02-11,5,,1,,,3,2022-02-11 02:00:00,2022-02-11 02:00:00,"18",,"1036"
"809369_1","809369","21786",2021-04-14,7,,0,,,1,2021-04-14 02:00:00,2021-04-14 02:00:00,"59",,"1036"
"23374_2","809369","21786",2021-04-22,7,,0,,,2,2021-04-22 07:49:21,2021-04-22 07:49:21,"59",,"1036"
"809369_3","809369","21786",2021-04-23,7,,0,,,3,2021-04-23 07:48:41,2021-04-23 07:48:41,"59",,"1036"
"810567_1","810567","21786",2021-04-22,7,,0,,,1,2021-04-22 02:00:00,2021-04-22 02:00:00,"25",,"1036"
"810567_3","810567","21786",2021-04-23,7,,0,,,3,2021-04-23 02:00:00,2021-04-23 02:00:00,"25",,"1036"
"832681_1","832681","21786",2021-12-03,7,,0,,,1,2021-12-03 02:00:00,2021-12-03 02:00:00,"28",,"1036"
"832681_3","832681","21786",2022-07-15,7,,0,,,3,2022-07-15 02:00:00,2022-07-15 02:00:00,"28",,"1036"
"826272_1","826272","36129",2021-09-30,5,,0,,,1,2021-09-30 08:36:16,2021-09-30 08:36:16,"27",,"1036"
"826272_3","826272","36129",2021-11-16,5,,0,,,3,2021-11-16 10:01:18,2021-11-16 10:01:18,"27",,"1036"
"826415_1","826415","43068",2021-08-26,4,,0,,,1,2021-08-26 02:00:00,2021-08-26 02:00:00,"26",,"1036"
"826415_3","826415","43068",2021-09-25,4,,0,,,3,2021-09-25 02:00:00,2021-09-25 02:00:00,"26",,"1036"
"760679_1","760679","43623",2020-01-29,5,,0,,,1,2020-01-29 02:00:00,2020-01-29 02:00:00,"26",,"1036"
"760679_3","760679","43623",2020-03-17,5,,0,,,3,2020-03-17 02:00:00,2020-03-17 02:00:00,"26",,"1036"
"860713_1","860713","43623",2022-08-20,5,,0,,,1,2022-08-20 02:00:00,2022-08-20 02:00:00,"30",,"1036"
"860713_3","860713","43623",2022-09-20,5,,0,,,3,2022-09-20 15:40:36,2022-09-20 15:40:36,"30",,"1036"
"805171_1","805171","59514",2021-03-09,10,,1,,,1,2021-03-09 02:00:00,2021-03-09 02:00:00,"18",,"1036"
"805171_3","805171","59514",2022-02-11,10,,1,,,3,2022-02-11 02:00:00,2022-02-11 02:00:00,"18",,"1036"
"853243_1","853243","64347",2022-06-06,7,,0,,,1,2022-06-06 02:00:00,2022-06-06 02:00:00,"30",,"1036"
"853243_3","853243","64347",2022-09-09,7,,0,,,3,2022-09-09 02:00:00,2022-09-09 02:00:00,"30",,"1036"
"860764_1","860764","64347",2022-08-24,7,,0,,,1,2022-08-24 02:00:00,2022-08-24 02:00:00,"27",,"1036"
"860764_3","860764","64347",2022-09-10,7,,0,,,3,2022-09-10 02:00:00,2022-09-10 02:00:00,"27",,"1036"
"784871_1","784871","68121",2020-10-06,4,,0,,,1,2020-10-06 02:00:00,2020-10-06 02:00:00,"26",,"1036"
"784871_3","784871","68121",2020-12-10,4,,0,,,3,2020-12-10 02:00:00,2020-12-10 02:00:00,"26",,"1036"
"755925_1","755925","78095",2019-12-18,11,,0,,,1,2019-12-18 02:00:00,2019-12-18 02:00:00,"26",,"1036"
"755925_3","755925","78095",2020-01-17,11,,0,,,3,2020-01-17 02:00:00,2020-01-17 02:00:00,"26",,"1036"
"790774_1","790774","78095",2020-11-20,11,,0,,,1,2020-11-20 02:00:00,2020-11-20 02:00:00,"26",,"1036"
"790774_3","790774","78095",2021-01-01,11,,0,,,3,2021-01-01 11:54:14,2021-01-01 11:54:14,"26",,"1036"
"785466_1","785466","84267",2020-10-05,7,,1,,,1,2020-10-05 02:00:00,2020-10-05 02:00:00,"27",,"1036"
"785466_3","785466","84267",2020-11-30,7,,1,,,3,2020-11-30 02:00:00,2020-11-30 02:00:00,"27",,"1036"
"773950_1","773950","86706",2020-06-17,5,,1,,,1,2020-06-17 02:00:00,2020-06-17 02:00:00,"18",,"1036"
"773950_3","773950","86706",2020-06-19,5,,1,,,3,2020-06-19 02:00:00,2020-06-19 02:00:00,"18",,"1036"
"767294_1","767294","87330",2020-03-23,4,,1,,,1,2020-03-23,2020-03-23,"16",,"1036"
"783811_1","783811","90008",2020-09-28,5,,0,,,1,2020-09-28 02:00:00,2020-09-28 02:00:00,"26",,"1036"
"783811_3","783811","90008",2020-09-28,5,,0,,,3,2020-09-28 02:00:00,2020-09-28 02:00:00,"26",,"1036"
"812731_1","812731","90008",2021-04-28,5,,0,,,1,2021-04-28 02:00:00,2021-04-28 02:00:00,"26",,"1036"
"812731_3","812731","90008",2021-05-01,5,,0,,,3,2021-05-01 02:00:00,2021-05-01 02:00:00,"26",,"1036"
"764793_1","764793","93311",2020-02-21,5,,0,,,1,2020-02-21 02:00:00,2020-02-21 02:00:00,"26",,"1036"
"764793_3","764793","93311",2020-03-03,5,,0,,,3,2020-03-03 02:00:00,2020-03-03 02:00:00,"26",,"1036"
"796775_1","796775","93311",2021-01-12,5,,0,,,1,2021-01-12 02:00:00,2021-01-12 02:00:00,"26",,"1036"
"796775_3","796775","93311",2021-01-18,5,,0,,,3,2021-01-18 02:00:00,2021-01-18 02:00:00,"26",,"1036"
"755856_1","755856","99230",2019-12-16,7,,0,,,1,2019-12-16 02:00:00,2019-12-16 02:00:00,"27",,"1036"
"755856_3","755856","99230",2020-01-28,7,,0,,,3,2020-01-28 02:00:00,2020-01-28 02:00:00,"27",,"1036"
"827158_1","827158","104510",2021-10-05,10,,1,,,1,2021-10-05 02:00:00,2021-10-05 02:00:00,"26",,"1036"
"827158_3","827158","104510",2022-03-04,10,,1,,,3,2022-03-04 02:00:00,2022-03-04 02:00:00,"26",,"1036"
"846319_1","846319","107765",2022-04-05,5,,0,,,1,2022-04-05 09:43:57,2022-04-05 09:43:57,"29",,"1036"
"28404_2","846319","107765",2022-04-22,5,,0,,,2,2022-04-22 08:20:59,2022-04-22 08:20:59,"29",,"1036"
"28962_2","846319","107765",2022-05-27,5,,0,,,2,2022-05-27 02:00:00,2022-05-27 02:00:00,"29",,"1036"
"846319_3","846319","107765",2022-08-04,5,,0,,,3,2022-08-04 14:27:09,2022-08-04 14:27:09,"29",,"1036"
"818710_1","818710","107808",2021-07-15,4,,0,,,1,2021-07-15 15:54:41,2021-07-15 15:54:41,"28",,"1036"
"818710_3","818710","107808",2021-11-10,4,,0,,,3,2021-11-10 02:00:00,2021-11-10 02:00:00,"28",,"1036"
"834510_1","834510","107808",2021-12-11,4,,0,,,1,2021-12-11 02:00:00,2021-12-11 02:00:00,"28",,"1036"
"834510_3","834510","107808",2021-12-16,4,,0,,,3,2021-12-16 02:00:00,2021-12-16 02:00:00,"28",,"1036"
"815346_1","815346","113280",2021-06-10,7,,0,,,1,2021-06-10 02:00:00,2021-06-10 02:00:00,"28",,"1036"
"815346_3","815346","113280",2021-07-30,7,,0,,,3,2021-07-30 02:00:00,2021-07-30 02:00:00,"28",,"1036"
"820486_1","820486","113280",2021-07-30,7,,0,,,1,2021-07-30 02:00:00,2021-07-30 02:00:00,"27",,"1036"
"820486_3","820486","113280",2022-08-14,7,,0,,,3,2022-08-14 02:00:00,2022-08-14 02:00:00,"27",,"1036"
"858051_1","858051","134283",2022-08-01,,,0,,,1,2022-08-01 10:12:15,2022-08-01 10:12:15,"29",,"1036"
"197730_1","197730","135627",2007-05-05,3,,1,,,1,2007-05-05 08:12:00,2007-05-05 08:12:00,"23",,"1036"
"856593_1","856593","136302",2022-07-07,4,,0,,,1,2022-07-07 02:00:00,2022-07-07 02:00:00,"27",,"1036"
"856593_3","856593","136302",2022-07-17,4,,0,,,3,2022-07-17 02:00:00,2022-07-17 02:00:00,"27",,"1036"
"850615_1","850615","142792",2022-05-17,8,,0,,,1,2022-05-17 02:00:00,2022-05-17 02:00:00,"29",,"1036"
"850615_3","850615","142792",2022-05-25,8,,0,,,3,2022-05-25 16:16:54,2022-05-25 16:16:54,"29",,"1036"
"839013_1","839013","142794",2022-01-28,10,,0,,,1,2022-01-28 02:00:00,2022-01-28 02:00:00,"29",,"1036"
"839013_3","839013","142794",2022-01-30,10,,0,,,3,2022-01-30 02:00:00,2022-01-30 02:00:00,"29",,"1036"
"860816_1","860816","145849",2022-08-24,7,,1,,,1,2022-08-24 02:00:00,2022-08-24 02:00:00,"27",,"1036"
"820924_1","820924","171024",2021-07-15,10,,0,,,1,2021-07-15 02:00:00,2021-07-15 02:00:00,"30",,"1036"
"820924_3","820924","171024",2021-09-27,10,,0,,,3,2021-09-27 02:00:00,2021-09-27 02:00:00,"30",,"1036"
"829897_1","829897","173672",2021-11-03,4,2,0,,3,1,2021-11-03 01:00:00,2021-11-03 01:00:00,"27",,"1036"
"829897_3","829897","173672",2021-11-04,4,2,0,,3,3,2021-11-04 01:00:00,2021-11-04 01:00:00,"27",,"1036"
"825860_1","825860","190891",2021-09-16,5,,1,,,1,2021-09-16 02:00:00,2021-09-16 02:00:00,"28",,"1036"
"825860_3","825860","190891",2021-09-25,5,,1,,,3,2021-09-25 02:00:00,2021-09-25 02:00:00,"28",,"1036"
"726776_1","726776","191486",2019-03-04,10,,0,,,1,2019-03-04 13:47:53,2019-03-04 13:47:53,"26",,"1036"
"22351_5","726776","191486",2020-03-01,10,,0,,,5,2020-03-01 02:00:00,2020-03-01 02:00:00,"26",,"1036"
"726776_3","726776","191486",2021-01-20,10,,0,,,3,2021-01-20 02:00:00,2021-01-20 02:00:00,"26",,"1036"
"713611_1","713611","198195",2018-10-23,5,,0,,,1,2018-10-23 10:48:44,2018-10-23 10:48:44,"26",,"1036"
"17732_5","713611","198195",2019-10-23,5,,0,,,5,2019-10-23 02:00:00,2019-10-23 02:00:00,"26",,"1036"
"19538_2","713611","198195",2020-06-02,5,,0,,,2,2020-06-02 02:00:00,2020-06-02 02:00:00,"26",,"1036"
"713611_3","713611","198195",2020-10-29,5,,0,,,3,2020-10-29 02:00:00,2020-10-29 02:00:00,"26",,"1036"
"713612_1","713612","198196",2018-10-23,,,,,,1,2018-10-23 10:48:44,2018-10-23 10:48:44,"26",,"1036"
"17733_5","713612","198196",2019-10-23,,,,,,5,2019-10-23 02:00:00,2019-10-23 02:00:00,"26",,"1036"
"19539_2","713612","198196",2020-06-02,,,,,,2,2020-06-02 02:00:00,2020-06-02 02:00:00,"26",,"1036"
"713612_3","713612","198196",2020-10-29,,,,,,3,2020-10-29 02:00:00,2020-10-29 02:00:00,"26",,"1036"
"822608_1","822608","206409",2021-08-10,10,,0,,,1,2021-08-10 02:00:00,2021-08-10 02:00:00,"26",,"1036"
"822608_3","822608","206409",2021-08-13,10,,0,,,3,2021-08-13 02:00:00,2021-08-13 02:00:00,"26",,"1036"
"855949_1","855949","219231",2022-07-11,7,,0,,,1,2022-07-11 10:29:06,2022-07-11 10:29:06,"30",,"1036"
"792517_1","792517","232980",2020-11-19,4,2,0,,3,1,2020-11-19 02:00:00,2020-11-19 02:00:00,"27",,"1036"
"792517_3","792517","232980",2020-11-20,4,2,0,,3,3,2020-11-20 02:00:00,2020-11-20 02:00:00,"27",,"1036"
"833148_1","833148","277976",2021-12-07,4,,0,,,1,2021-12-07 02:00:00,2021-12-07 02:00:00,"28",,"1036"
"833148_3","833148","277976",2022-06-04,4,,0,,,3,2022-06-04 02:00:00,2022-06-04 02:00:00,"28",,"1036"
"839012_1","839012","282322",2022-01-27,,,,,,1,2022-01-27 02:00:00,2022-01-27 02:00:00,"29",,"1036"
"839012_3","839012","282322",2022-02-11,7,,0,,,3,2022-02-11 02:00:00,2022-02-11 02:00:00,"29",,"1036"
"812692_1","812692","287329",2021-05-16,7,,0,,,1,2021-05-16 09:15:06,2021-05-16 09:15:06,"27",,"1036"
"24643_2","812692","287329",2021-06-15,7,,0,,,2,2021-06-15 15:35:28,2021-06-15 15:35:28,"27",,"1036"
"812692_3","812692","287329",2021-06-16,7,,0,,,3,2021-06-16 13:00:07,2021-06-16 13:00:07,"27",,"1036"
"810798_1","810798","305203",2021-04-23,4,,0,,,1,2021-04-23 02:00:00,2021-04-23 02:00:00,"26",,"1036"
"810798_3","810798","305203",2021-05-19,4,,0,,,3,2021-05-19 02:00:00,2021-05-19 02:00:00,"26",,"1036"
"833221_1","833221","305204",2021-10-30,4,,0,,,1,2021-10-30 02:00:00,2021-10-30 02:00:00,"26",,"1036"
"833221_3","833221","305204",2021-11-25,4,,0,,,3,2021-11-25 02:00:00,2021-11-25 02:00:00,"26",,"1036"
"863700_1","863700","305204",2022-09-21,4,,0,,,1,2022-09-21 02:00:00,2022-09-21 02:00:00,"30",,"1036"
"758206_1","758206","328052",2020-01-09,5,,0,,2,1,2020-01-09 02:00:00,2020-01-09 02:00:00,"26",,"1036"
"758206_3","758206","328052",2020-01-16,5,,0,,2,3,2020-01-16 02:00:00,2020-01-16 02:00:00,"26",,"1036"
"789848_1","789848","332194",2020-11-17,5,,1,,,1,2020-11-17 02:00:00,2020-11-17 02:00:00,"25",,"1036"
"21324_2","789848","332194",2020-11-19,5,,1,,,2,2020-11-19 16:02:18,2020-11-19 16:02:18,"25",,"1036"
"789848_3","789848","332194",2020-11-20,5,,1,,,3,2020-11-20 02:00:00,2020-11-20 02:00:00,"25",,"1036"
"772516_1","772516","342418",2020-06-02,12,,1,1,,1,2020-06-02 02:00:00,2020-06-02 02:00:00,"24",,"1036"
"772516_3","772516","342418",2020-08-31,12,,1,1,,3,2020-08-31 02:00:00,2020-08-31 02:00:00,"24",,"1036"
"794349_1","794349","342418",2020-12-17,12,,1,2,,1,2020-12-17 02:00:00,2020-12-17 02:00:00,"24",,"1036"
"794349_3","794349","342418",2021-12-09,12,,1,2,,3,2021-12-09 02:00:00,2021-12-09 02:00:00,"24",,"1036"
"695939_1","695939","346797",2017-04-28,5,,1,,,1,2017-04-28 02:00:00,2017-04-28 02:00:00,"19",,"1036"
"22357_5","695939","346797",2020-07-06,5,,0,,,5,2020-07-06 02:00:00,2020-07-06 02:00:00,"19",,"1036"
"25857_5","695939","346797",2021-04-08,5,,0,,,5,2021-04-08 11:14:18,2021-04-08 11:14:18,"19",,"1036"
"28502_5","695939","346797",2022-04-27,5,,0,,,5,2022-04-27 13:03:19,2022-04-27 13:03:19,"19",,"1036"
"797030_1","797030","351016",2021-01-13,11,,0,,1,1,2021-01-13 02:00:00,2021-01-13 02:00:00,"24",,"1036"
"797030_3","797030","351016",2021-03-26,11,,0,,1,3,2021-03-26 02:00:00,2021-03-26 02:00:00,"24",,"1036"
"844426_1","844426","379026",2022-03-21,7,,1,,,1,2022-03-21 02:00:00,2022-03-21 02:00:00,"26",,"1036"
"844426_3","844426","379026",2022-04-05,7,,1,,,3,2022-04-05 02:00:00,2022-04-05 02:00:00,"26",,"1036"
"816455_1","816455","381790",2021-06-16,5,,0,,,1,2021-06-16 02:00:00,2021-06-16 02:00:00,"26",,"1036"
"816455_3","816455","381790",2021-06-19,5,,0,,,3,2021-06-19 02:00:00,2021-06-19 02:00:00,"26",,"1036"
"851920_1","851920","389278",2022-05-26,4,,0,,,1,2022-05-26 02:00:00,2022-05-26 02:00:00,"29",,"1036"
"851920_3","851920","389278",2022-06-01,4,,0,,,3,2022-06-01 02:00:00,2022-06-01 02:00:00,"29",,"1036"
"799759_1","799759","396646",2021-02-01,11,,0,,,1,2021-02-01 02:00:00,2021-02-01 02:00:00,"26",,"1036"
"799759_3","799759","396646",2021-05-20,11,,0,,,3,2021-05-20 02:00:00,2021-05-20 02:00:00,"26",,"1036"
"802896_1","802896","399356",2021-02-19,5,,0,,,1,2021-02-19 02:00:00,2021-02-19 02:00:00,"26",,"1036"
"802896_3","802896","399356",2021-05-18,5,,0,,,3,2021-05-18 02:00:00,2021-05-18 02:00:00,"26",,"1036"
"824967_1","824967","399473",2021-09-16,5,,1,,,1,2021-09-16 02:00:00,2021-09-16 02:00:00,"26",,"1036"
"824967_3","824967","399473",2022-02-09,5,,1,,,3,2022-02-09 02:00:00,2022-02-09 02:00:00,"26",,"1036"
"824969_1","824969","399477",2021-09-16,,,,,,1,2021-09-16 02:00:00,2021-09-16 02:00:00,"26",,"1036"
"824969_3","824969","399477",2022-02-09,,,,,,3,2022-02-09 02:00:00,2022-02-09 02:00:00,"26",,"1036"
"824968_1","824968","399479",2021-09-16,,,,,,1,2021-09-16 02:00:00,2021-09-16 02:00:00,"26",,"1036"
"824968_3","824968","399479",2022-02-09,,,,,,3,2022-02-09 02:00:00,2022-02-09 02:00:00,"26",,"1036"
"796666_1","796666","399656",2021-01-13,4,,1,,,1,2021-01-13 02:00:00,2021-01-13 02:00:00,"18",,"1036"
"796666_3","796666","399656",2022-06-08,4,,1,,,3,2022-06-08 02:00:00,2022-06-08 02:00:00,"18",,"1036"
"796668_1","796668","399658",2021-01-13,,,,,,1,2021-01-13 02:00:00,2021-01-13 02:00:00,"18",,"1036"
"796668_3","796668","399658",2022-06-08,,,,,,3,2022-06-08 02:00:00,2022-06-08 02:00:00,"18",,"1036"
"843491_1","843491","399914",2022-03-10,10,,1,,,1,2022-03-10 02:00:00,2022-03-10 02:00:00,"26",,"1036"
"843491_3","843491","399914",2022-05-12,10,,1,,,3,2022-05-12 02:00:00,2022-05-12 02:00:00,"26",,"1036"
"789927_1","789927","400818",2020-11-23,10,,0,,,1,2020-11-23 02:00:00,2020-11-23 02:00:00,"26",,"1036"
"789927_3","789927","400818",2021-05-18,10,,0,,,3,2021-05-18 02:00:00,2021-05-18 02:00:00,"26",,"1036"
"789928_1","789928","400822",2020-11-23,,,,,,1,2020-11-23 02:00:00,2020-11-23 02:00:00,"26",,"1036"
"789928_3","789928","400822",2021-05-18,,,,,,3,2021-05-18 02:00:00,2021-05-18 02:00:00,"26",,"1036"
"789929_1","789929","400823",2020-11-23,,,,,,1,2020-11-23 02:00:00,2020-11-23 02:00:00,"26",,"1036"
"789929_3","789929","400823",2021-05-18,,,,,,3,2021-05-18 02:00:00,2021-05-18 02:00:00,"26",,"1036"
"845637_1","845637","401223",2022-03-30,12,,0,,,1,2022-03-30 02:00:00,2022-03-30 02:00:00,"28",,"1036"
"845637_3","845637","401223",2022-06-07,12,,0,,,3,2022-06-07 02:00:00,2022-06-07 02:00:00,"28",,"1036"
"823056_1","823056","401307",2021-08-25,5,,0,,,1,2021-08-25 02:00:00,2021-08-25 02:00:00,"27",,"1036"
"823056_3","823056","401307",2021-09-09,5,,0,,,3,2021-09-09 08:36:21,2021-09-09 08:36:21,"27",,"1036"
"811507_1","811507","401346",2021-05-05,7,,0,,,1,2021-05-05 02:00:00,2021-05-05 02:00:00,"28",,"1036"
"811507_3","811507","401346",2021-08-02,7,,0,,,3,2021-08-02 02:00:00,2021-08-02 02:00:00,"28",,"1036"
"793898_1","793898","401403",2020-12-22,12,,0,,,1,2020-12-22 02:00:00,2020-12-22 02:00:00,"26",,"1036"
"793898_3","793898","401403",2021-05-18,12,,0,,,3,2021-05-18 02:00:00,2021-05-18 02:00:00,"26",,"1036"
"781427_1","781427","401481",2020-09-03,5,,0,,,1,2020-09-03 02:00:00,2020-09-03 02:00:00,"27",,"1036"
"781427_3","781427","401481",2021-02-08,5,,0,,,3,2021-02-08 02:00:00,2021-02-08 02:00:00,"27",,"1036"
"781429_1","781429","401482",2020-09-03,,,,,,1,2020-09-03 02:00:00,2020-09-03 02:00:00,"27",,"1036"
"781429_3","781429","401482",2021-02-08,,,,,,3,2021-02-08 02:00:00,2021-02-08 02:00:00,"27",,"1036"
"802627_1","802627","401618",2021-02-18,5,,0,,,1,2021-02-18 02:00:00,2021-02-18 02:00:00,"26",,"1036"
"802627_3","802627","401618",2021-05-18,5,,0,,,3,2021-05-18 02:00:00,2021-05-18 02:00:00,"26",,"1036"
"818937_1","818937","402106",2021-07-19,5,,1,,,1,2021-07-19 02:00:00,2021-07-19 02:00:00,"26",,"1036"
"818937_3","818937","402106",2022-02-08,5,,1,,,3,2022-02-08 02:00:00,2022-02-08 02:00:00,"26",,"1036"
"832975_1","832975","402477",2021-12-02,14,,0,,2,1,2021-12-02 02:00:00,2021-12-02 02:00:00,"29",,"1036"
"832975_3","832975","402477",2022-01-24,14,,0,,2,3,2022-01-24 20:09:00,2022-01-24 20:09:00,"29",,"1036"
"824622_1","824622","402670",2021-09-14,5,,0,,2,1,2021-09-14 02:00:00,2021-09-14 02:00:00,"23",,"1036"
"824622_3","824622","402670",2022-03-13,5,,0,,2,3,2022-03-13 03:00:00,2022-03-13 03:00:00,"23",,"1036"
"816327_1","816327","402933",2021-06-22,5,,0,,,1,2021-06-22 02:00:00,2021-06-22 02:00:00,"26",,"1036"
"816327_3","816327","402933",2022-02-07,5,,0,,,3,2022-02-07 02:00:00,2022-02-07 02:00:00,"26",,"1036"
"818739_1","818739","403143",2021-07-16,5,,1,,,1,2021-07-16 02:00:00,2021-07-16 02:00:00,"26",,"1036"
"818739_3","818739","403143",2022-02-08,5,,1,,,3,2022-02-08 02:00:00,2022-02-08 02:00:00,"26",,"1036"
"846759_1","846759","403415",2022-04-08,10,,0,,,1,2022-04-08 02:00:00,2022-04-08 02:00:00,"30",,"1036"
"846759_3","846759","403415",2022-07-18,10,,0,,,3,2022-07-18 02:00:00,2022-07-18 02:00:00,"30",,"1036"
"832324_1","832324","403497",2021-12-02,5,,0,,3,1,2021-12-02 02:00:00,2021-12-02 02:00:00,"23",,"1036"
"832324_3","832324","403497",2022-04-29,5,,0,,2,3,2022-04-29 02:00:00,2022-04-29 02:00:00,"23",,"1036"
"781002_1","781002","403975",2020-08-10,10,,0,,,1,2020-08-10 02:00:00,2020-08-10 02:00:00,"27",,"1036"
"781002_3","781002","403975",2020-09-30,10,,1,,,3,2020-09-30 02:00:00,2020-09-30 02:00:00,"27",,"1036"
"792935_1","792935","403975",2020-12-10,10,,0,,,1,2020-12-10 02:00:00,2020-12-10 02:00:00,"27",,"1036"
"792935_3","792935","403975",2021-01-28,10,,1,,,3,2021-01-28 02:00:00,2021-01-28 02:00:00,"27",,"1036"
"851260_1","851260","403975",2022-05-11,10,,0,,,1,2022-05-11 02:00:00,2022-05-11 02:00:00,"28",,"1036"
"851260_3","851260","403975",2022-06-20,10,,0,,,3,2022-06-20 02:00:00,2022-06-20 02:00:00,"28",,"1036"
"783062_1","783062","404559",2020-09-18,5,,1,,,1,2020-09-18 02:00:00,2020-09-18 02:00:00,"26",,"1036"
"783062_3","783062","404559",2021-05-18,5,,1,,,3,2021-05-18 02:00:00,2021-05-18 02:00:00,"26",,"1036"
"845391_1","845391","404575",2022-03-29,4,,1,,,1,2022-03-29 02:00:00,2022-03-29 02:00:00,"26",,"1036"
"845391_3","845391","404575",2022-04-14,4,,1,,,3,2022-04-14 02:00:00,2022-04-14 02:00:00,"26",,"1036"
"847917_1","847917","404575",2022-04-20,4,,1,,,1,2022-04-20 02:00:00,2022-04-20 02:00:00,"30",,"1036"
"847917_3","847917","404575",2022-07-18,4,,1,,,3,2022-07-18 02:00:00,2022-07-18 02:00:00,"30",,"1036"
"807951_1","807951","404877",2021-04-01,5,,0,,1,1,2021-04-01 02:00:00,2021-04-01 02:00:00,"23",,"1036"
"807951_3","807951","404877",2021-06-29,5,,0,,1,3,2021-06-29 02:00:00,2021-06-29 02:00:00,"23",,"1036"
"777142_1","777142","405760",2020-07-16,10,,1,,,1,2020-07-16 02:00:00,2020-07-16 02:00:00,"26",,"1036"
"777142_3","777142","405760",2020-09-01,10,,1,,,3,2020-09-01 02:00:00,2020-09-01 02:00:00,"26",,"1036"
"790370_1","790370","405760",2020-11-25,10,,1,,,1,2020-11-25 02:00:00,2020-11-25 02:00:00,"26",,"1036"
"790370_3","790370","405760",2021-03-03,10,,1,,,3,2021-03-03 02:00:00,2021-03-03 02:00:00,"26",,"1036"
"844500_1","844500","405760",2022-03-21,10,,1,,,1,2022-03-21 02:00:00,2022-03-21 02:00:00,"26",,"1036"
"844500_3","844500","405760",2022-04-07,10,,1,,,3,2022-04-07 02:00:00,2022-04-07 02:00:00,"26",,"1036"
